year,question_no,context,question,A,B,C,D,answer,region
2014,1,,"Who among the following could be described as the founding father of Nigerian nationalism.
",Nnamdi Azikiwe.,Herbert Macaulay,Ahmadu Bello.,Obafemi Awolowo.,B,Nigeria
2014,2,,Rule of law means.,Supremacy of the law., Absence of legal immunity. ,"Peace, order and stability",Obedience to any authority.,A,International
2014,6,,Citizenship status is acquired through,"birth, indigenization, colonization and referendum  ","association, convention, naturalization and incorporation. ","birth, naturalization, honorary and registration.","registration, inter-relationship, integration and declaration.",C,International
2014,7,,Human Rights are basic natural rights which people enjoy primarily because they are,members of a political party. ,international citizens. ,members of a community ,human beings.,D,International
2014,8,,Interpersonal relationship exists when,citizens pay their taxes regularly to inland revenue service,citizens are politically conscious and participate in voting, there is interaction between persons in a social setting ,groups share social interest and communal aspiration.,D,International
2014,9,,Cultism can be described to be,amiable. ,attractive,dangerous ,harmless.,C,International
2014,10,"Use the statements below to answer questions 10 and 11
NEWS: 'Rival cult Group Killed Ten on Campus'
STUDENT: I will definitely need a bullet proof vest before I can go back to the Campus.","Based on the statement above, the decision of the student on having a bullet proof vest shows that cultism",spreads fear and terror.,is a training ground for armed forces ,breeds courageous graduates ,propagates self-defence.,A,International
2014,11,,It could be inferred from the statements above that cultism in schools could lead to,sudden prosperity,uninterrupted academic calendar. ,popular on campus,untimely death,D,International
2014,12,,Victims of human trafficking are usually compelled to engage in,lucrative employment ,visiting tourist sites,part-time studies, forced labour,D,International
2014,13,,One habit which People Living With HIV/AIDS (PLWHAs) must avoid to remain healthy and productive is,regular contact with healthy people, self-pity and self-medication ,participation in profitable ventures ,pursuit of academic studies.,B,International
2014,14,,Youth empowerment is best described as the,training given individuals for acquiring means of livelihood ,practice of engaging in prospective career. ,provision of subsidized meals to the citizens by government ,mobilization of citizens for political rally.,A,International
2014,15,,The National Assembly Presidency and Court which are inter-related and interdependent in our democracy constitute the ,tiers of government, types of democracy,forms of government. ,arms of government,D,Nigeria
2014,16,,A system of government that listens to public opinion and tolerates opposition is,dictatorial regime, capitalist regime.,democratic regime ,socialist regime.,C,International
2014,17,,A situation where most citizens fail to vote in elections could be described as political ,socialization. ,culture., apathy, legitimacy,C,International
