year,question_no,context,question,A,B,C,D,answer,region
2015,1,,The practice of giving a particular name to a product by a manufacturer is,branding,standardization,publicity,advertising,A,international
2015,2,,An extra commission paid to an agent who guarantees credit sales made by him is,del-credere.,guarantor's fee,jobber's turn,brokerage,A,international
2015,3,,A professional in insurance who evaluates the level of loss claims is an,adjuster,assessor,underwriter,actuary,D,international
2015,4,,The insurance services rendered to a foreign shipping company are treated as,invisible export,invisible import,visible export,balance of trade,B,international
2015,5,,Dividing the market for a product according to potential buyers who have common characteristics is,market analysis,market penetration,market segmentation,market research.,C,international
2015,6,,Which of the following aids to trade facilitates production ahead of demand?,insurance,transportation,advertising,warehousing,D,international
2015,7,,"When a government acquires business enterprise formerly owned by individuals, it is termed",commercialization,indigenization,privatization,nationalization.,D,international
2015,8,,How many countries make up the River Niger Basin Commission?,16,12,10,9,D,nigeria
2015,9,,Which of the following means of payment makes the bank both the drawer and drawee?,Standing order,Bill of exchange,Bank draft,Open cheque,A,international
2015,10,,An association that protects the interest of members in the same line of business is a,Consumer Association,Trade Union,Trade Association,Chamber of Commerce,C,international
2015,11,"Bamidele Co. Itd has authorized capital of 40,000,000 ordinary shares of N4 each. Shares issues and fully paid are 25,000,000.",The value of Bamidele Co. Ltd's authorized share capital is,"N160,000,000","N100,000,000","N65,000,000","N40,000,000",D,international
2015,12,,The value of the issued capital of the company is,"N160,000,000","N100,000,000","N65,000,000","N40,000,000",B,international
2015,13,,The unissued capital amounts to,"N160,000,000","N60,000,000","N40,000,000","N15,000,000",B,international
2015,14,,Which of the following aids to trade is used to stimulate demand for goods?,Banking,Transport,Insurance,Advertising,D,international
2015,15,,The term consumer sovereignty means that the,seller is the king,product is supreme,buyer is the king,producer is the king,C,international
2015,16,,Which of the following activities is classified under extractive industry?,Exploration of minerals,Construction of roads,Canning of tomato purees,assembling of cars,A,international
2015,17,"BYX Enterprise has the following balances at the end of March 2010: Opening stock: D6,000
 Purchases: D23,000
 Salaries and wages: D12,000
 Closing stock: D8,000
 Sales: D30,000",Calculate the gross profit of BYX Enterprise.,"D13,000","D9,000","D5,000","D1,000.",B,international
2015,18,,What is the rate of turnover of BYX Enterprise?,5.0 times,3.5 times,3.0 times,1.5 times,C,international
2015,19,,Which of the following workers is engaged in construction occupation?,Mason,Shop Assistant,Farmer,Train Driver,A,international
2015,20,,A cheque which the bank refused to pay because the drawer had insufficient funds in his account is,a bounced cheque,a bearer cheque,a crossed cheque,an order cheque.,A,international
2015,21,,Which of the following is a function of the retailer to the wholesaler?,providing after sales service,providing information on market trends,sales of variety of goods,sales of goods in smaller quantity,B,international
2015,22,,The term utmost good faith in insurance means,both the insured and insurer must disclose all information,only the insurer must disclose all information,the beneficiary must disclose all information,only the insured must disclose all information.,A,international
2015,23,,Which of the following business units enjoys government subsidies?,private limited company,Limited partnership,public limited company,public corporation,D,international
2015,24,,Duty drawback refers to duties paid on,exported goods produced with local content,re-exported goods previously imported,imported goods for sales locally,locally manufactured goods for sales locally,B,international
2015,25,,The capital that is used in the day-to-day running of a business is,nominal capital,working capital,paid up capital,authorized capital,B,international
2015,26,,Which of the following is classified under current asset?,redenomination,devaluation.,inflation,devaluation.,C,international
2015,27,,The reduction in value of a country's currency in relation to others is,redenomination,devaluation,inflation,deflation,B,international
2015,28,,Retail outlets which sell from specialized vans are called,supermarkets,multiple shops,mail order firms,mobile shops,D,international
2015,29,,Which of the following is an aspect of marketing concept?,product differentiation,sales orientation,consumer orientation,price differentiation,C,international
2015,30,,The practice of selling goods in foreign markets at a price lower than the cost price,fair trading,under invoicing,hedging,dumping,D,international
2015,31,,A cheque made payable to a named person is,a crossed cheque,a certified cheque,an order cheque,a confirmed cheque,C,international
2015,32,,A house insured against damage by flood was burnt down and the owner had no claim. Which of the following principles prevented him from making a claim?,indemnity,contribution,insurable interest,proximate cause,D,international
2015,33,,The market for short term capital is called,commodity market,discount market,money market,stock market,C,international
2015,34,,Which of the following principles stipulates that the insured must be in a position to suffer financial loss?,indemnity,proximate cause,insurable interest,subrogation,C,international
2015,35,,When shares are sold 'ex-div' it means the,buyer is entitled to the next dividend,shares are sold at par,shared are sold above par,seller has right to the next dividend,A,international
2015,36,,Turnover could be increased by,increasing prices and products differentiation,advertising and cutting prices,refusing credit and customer services,increasing the mark up and margin,A,international
2015,37,,Commerce started as a result of,speculation,consumption,specialization,nationalization.,C,international
2015,38,,Which of the following is used for making payments to many people in a single cheque?,debit transfer,certified cheque,bank draft,credit transfer,B,international
2015,39,,Equity interest in a company is represented by,preference share,dividend,debenture,ordinary shares,C,international
2015,40,,". When two insurers are liable under a given common policy, the principle of insurance that applies is",indemnity,subrogation,proximate cause,contribution,D,international
2015,41,,All activities aimed at creation of a good image for an organization are referred to as,market segmentation,market research,public relation,consumer orientation,C,international
2015,42,,Which of the following is a disadvantage of foreign trade?,it encourages dumping,it widens the world market,it encourages specialization,it provides variety of good,A,international
2015,43,,. Study to discover consumers' preferences and needs is called,market segmentation,consumer orientation,market research,market mix,C,international
2015,44,,Which of the following is a disadvantage of retailing?,Selling on credit,lower prices of goods,selling in smaller quantities,location at convenient places,A,international
2015,45,,. A private limited liability company differs from a public limited liability company because it,does not issue its shares to the public,as a separate entity,as many directors,is a going concern,A,international
2015,46,,A tax charged in proportion to the value of imported goods is,specific duty,ad valorem duty,custom duty,excise duty,B,international
2015,47,,Which of the following is a reason for the failure of public corporations,legal requirements,inadequate funding,political stability,lack of competition,B,international
2015,48,,The factor that is not considered when determining the means of transport suitable for cargo is,size,weight,manufacturer,perishability,C,international
2015,49,,Which of the following is a document of tile to goods,bill of exchange,bill of entry,letter of hypothecation,bill lading,D,international
2015,50,,The fee paid for transporting goods by ship is,fare,freight,demurrage,charges,B,international
,,,,,,,,,
,,,,,,,,,
2016,1,,"Where a number of insurance companies are liable under one Policy, the principle applicable is",subrogation,contribution,indemnity,utmost good faith,B,international
2016,2,,Buying and selling stocks in the stock exchange in anticipation of changes in the share prices is,hedging,projection,forecasting,speculation,D,international
2016,3,,Another term for a dishonoured cheque is,an order cheque,a bounced cheque,a bearer cheque,an open cheque,B,international
2016,4,,Which of the following is an example of life assurance?,Third party policy,Comprehensive policy,Fidelity guarantee policy,Endowment policy,D,international
2016,5,,The main concern of commerce is to,create wealth,buy and sell goods and services,exchange and distribute goods and sevices,satisfy all human wants,C,international
2016,6,,The organized effort of consumers to protect themselves against the unfair practices of businessmen is,strike,consumerism,picketing,demonstration,B,international
2016,7,,Which of the following legislations aims primarily at protection of consumers,Law of Contract,,Trade Descrption Act,Company's Act,A,international
2016,8,,In a law of contract a counter offer operates as,an acceptance,consensus adidem,a rejection,a contract,C,international
2016,9,,An economic policy which encourages government ownership of business is called,privatization,Nationalization,Indegenization,commercialization,B,international
2016,10,,Lack of permanent record for the message receiver is a disadvantage of,television,direct mail,catalogue,magazine,A,international
2016,11,,"Which of the following occupations are classified under the extractive industry?
 i. cattle-rearing, lumbering and farming; іі. mining, quarrying and hunting; ili. ship building, road construction, and iron bending; iv.singing, dancing and tailoring.",i and ili only,"i, i and iv only",i and ii only,"ii, il and iv only",C,international
2016,12,,Which of the following abbreviations allows the drawer of a document to correct any error?,C.I.F,I.O.U,C.W.O.,E&O.E.,D,international
2016,13,"Premises: 32,000 Motor vehicle: 15,000 Debtors: 15,000 Stock: 20,000 Creditors: 10,000",. The value of current assets is,"N35,000","N32,000","N25,000","N10,000",A,international
2016,14,,What is the value of the working capital?,"N47,000","N35,000","N25,000","N10,000",C,international
2016,15,,The value of fixed asset is,"N72,000","N47,000","N35,000","N25,000",B,international
2016,16,,A clean bill of lading is so called because,it shiws record of damaged goods,its not a stained bill,it is a document of authority,it shows no record of damaged goods,C,international
2016,17,,"When an importer has been overcharged for goods supplied, the exporter issues him with a",debit note,proforma invoice,letter of credit,credit note,D,international
2016,18,,Fidelity guarantee insurance is a cover against loss arising from,Trade debt,Personal Accident,Dishonest staff,Fire disaster,C,international
2016,19,,"When a cheque is paid on a bank on which it is drawn, the cheque is",discounted,credited,debited,,D,international
2016,20,,". The process of buying, selling and distribution of goods and services is",retail trade,commerce,marketing concept,marketing,B,international
2016,21,,. Risk bearing in business organization is a function of the,employees,entrepreneur,customers,,B,international
2016,22,,The worth of a life assurance policy before its maturity date is,residual value,surrender value,accrued value,assured value,D,international
2016,23,,One disadvantage of advertising is that it,could be misleading,decreases sales,reduces profit,causes over stocking,A,international
2016,24,,"The business that applies the principle of one man, one vote is",Sole proprietorship,Sole proprietorship,Sole proprietorship,Sole proprietorship,D,international
2016,25,,The water Corporation is an example of,Co-operative Society,Public Enterprise,Private Enterprise,Limited Company,B,international
2016,26,,A partnership is dissolved due to,liquidity of the firm,death of employee,insanity of partner,resignation of an employee,C,international
2016,27,,A document that contains the relationship between the company and outsiders is,. Certificate of Incorporation,Memorandum of Association,Article of Association,Certificate of Trading,B,international
2016,28,,An organization formed mainly by traders and manufacturers to cater for interest of members is,Trade Union,Co-operative society,Trade association,Chamber of Commerce,D,international
2016,29,,An insurance broker is involved in,industrial occupation,distributive occupation,commercial occupation,constructive occupation,C,international
2016,30,,. An agreement that is enforceable in law is,a contract,an offer,an acceptance,a consideration,A,international
2016,31,,The size of an enterprise is determined by the,number of customers of the enterprise,length of the time the firm has been in operation,amount of capital invested,type of work done,C,international
2016,32,,Which of the following functions is not performed by trade association?,Research and development,Standardization of product,Credit facilities,Technical information,C,international
2016,33,,The fees charged on postal order by the post office is,interest,brokerage,poundge,premium,C,international
2016,34,,The document issued by a warehouse keeper for goods taken into the store is,mate receipt,bill of sight,ship manifest,dock warrant,D,international
2016,35,,Which of the following is a verbal means of communication?,Telex,Express mail,Business reply service,Telephone,D,international
2016,36,,The production of goods in anticipation of demand is made possible by,Packaging,Warehousing,Branding,Advertising,B,international
2016,37,,Regarding the consumer as the King who must be satisfied is the main emphasis of,marketing research,marketing mix,consumerism,marketing concept,C,international
2016,38,,Which of the following is a concept of marketing?,Branding,Planning,Organising,Manufacturing,A,international
