year,question no,context,question,A,B,C,D,answer,region
2015,1,,Which of the animal product is used in the production of buttons?,Skin,Fur,Bone,Home,C,international
2015,2,,Subsistance farmers mostly practice,Monoculture,Monocropping,Mixed cropping,Crop rotation,C,international
2015,3,,A piece of land is said to be on lease to a farmer when it is,Given as compensation,Purchased on credit.,Rented for a period,Given as a gift.,C,international
2015,4,,Which of the following equipment is a farm implement?,Dryer,Sheller,Mower,Mistblower,C,international
2015,5,,A periodic maintenance activity carried out on the farm tractor is,Checking of radiator water,Checking of tyre pressure,Changing of engine oil,Cleaning after use.,C,international
2015,6,,Farm mechanization does not,Involve the use of motorized equipment,Require much capital,Promote employment,Involve the use of heavy machinery,C,international
2015,7,,Which of the following sources of farm power is most versatile in West Africa?,Biogas,Animal,Wind,Water,D,africa
2015,8,,Farm surveying equipment include the following except,Abney level,Compass,Gunter's chain,Spade,D,international
2015,9,,The system in which a farmer uses a piece of land for a period and abandons it for another land is called,Crop rotation,Mix cropping,Shifting cultivation,Ley farming,C,international
2015,10,,A socio-cultural factor affecting land availability for agriculture include use of land for,Constructing road,Building houses,Building factories,Building religious houses.,D,international
2015,11,,Organisms which may be benefical to crop include,Nematodes,Bacteria,Viruses,Protozoa,B,international
2015,12,,Which of the following rocks is sedimentary?,Limestone,Gabbro,Granite,Marble,A,international
2015,13,,. Soil profile is important in agriculture because it,Determines the soil catena,Determines the type of the land tenure system,Gives indication of the types of crops to grow,Promotes the weathering of rocks,C,international
2015,14,,What is the percentage water content of soil sample which weighed 180g when fresh and 120g when oven-dried,20.14%,25.00%,33.33%,60.00%,C,international
2015,15,,A soil sample with a pH of 4.5 is said to be,Acidic,Alkaline,Neutral,Fertile,A,international
2015,16,,The property of soil which cannot easily be change by a famer is the,Porosity,Structure,Texture,Acidity,C,international
2015,17,,"A farmer continuously applies sulphate of ammonia to his farmland for many years, the resultant soil solution is most likely to",Leave blue litmus paper unchanged,Change blue litmus paper to red,Change red litmus paper to blue,Be rich in soil microbes,B,international
2015,18,,Application of water to the subsoil through perforated pipes is known as,Flooding irrigation,Subsurface irrigation,Spinkler irrigation,Overhead irrigation,D,international
2015,19,,"Which of the following statemnets describe the impact of land degradation?
  I. Increased availablity of fuel wood
  Il. Reduction in livestock production
  IlI. Decrease in agricultural productivity
  IV. Pollution of water bodies","I,lI and Ill only","1,Ill and IV only","II, Ill and IV only","1,II,Ill and IV",A,international
2015,20,,Tabacco belongs to the group of crops called,Fibres,Beverages,Stimulants,Cereals,C,international
2015,21,,. Maize is a popular crop in West Africa because it,Is a cereal,Has multiple uses,Is of high nutritional value,Was introduced from Europe,B,africa
2015,22,,"If the spacing of maize is 0:9m by 0.3m and one seed is sown per stand, what will be the population of maize plants on a hectare of farmland?","74,074","54,000","37,037","27,000",D,international
2015,23,,The following crops require shade trees at the seedling stage except,Theobroma cacao,Coffea spp,Elaeis guineensis,Oryza sativa,D,international
2015,24,,. Crop which are primarily grown to provide food for farm animals are,Legumes,Weeds,Forages,Grasses,C,international
2015,25,,Crop selection is advantageous because,Seeds are collected from stands with desirable traits,Expertise is required in carring out the process,The breeder'd patien ce is being tasked,The process is time consuming,A,international
2015,26,,A fungus known as phytophthora palmivora is responsible for,Panama disease of banana,Bickarm disease of kola,Blackpod disease of cocoa,Blossom-end rot of tomato,C,international
2015,27,,Viral disease of crops can best be controlled through,Vector control,Planting reistant varieties,Spraying insecticides,Sterilizing farm equipment,B,international
2015,28,,. Piercing and sucking insect pests possess,Maxillae,Mandibles,. Labrums,Probosces,D,international
2015,29,,Callosobruchus maculatus is a common pest of,Sorghum,Rice,Maize,Cowpea,D,international
2015,30,,The use of pathogens to control dodder weeds is a,Physcial methos,Mechanical method,Biological method,Cultural method,C,international
2015,31,,The digestive function of the rumen in ruminant nutrition is enchanced by the,Absorption of water,Presence of micro-organisms,Absorption of food nutrients,Retention of unwanted foreign materials,B,international
2015,32,,The duration of the oestrus cycle of sow is,14-28 days,6-10 days,3-5 days,1-2 days,A,international
2015,33,,Natural immunity to diseases in calves is acquired through access to,Vaccine,Colostrum,Balanced diet,Salt licks,B,international
2015,34,,"If a sow conceived on the 5th of june in particular year, it will probably farrow the same year on",8th August,18th September,28th September,28th October,D,international
2015,35,,The act of parturtion in rabbit is known as,Calving,. Lambing,Farrowing,Kindling,D,international
2015,36,,The extra oyster shell meal supplied to breeding hens,Prevents excess abdominal fat,Prevents anaemia,Aids in hardening egg shells,Shortens the incubation period of eggs,C,international
2015,37,,Iron is important in the diet of livestock for,Teeth formation,Feather production,Hair formation,Blood production,D,international
2015,38,,Established pasture cannot be harvested by,Using the mower,Zero grazing,Using combine harvester,Cutting with sickle.,D,international
2015,39,,The mating of a white fulani bull and an N'dama cow could be termed,Inbreeding,Line breeding,Outbreeding,Cross breeding,D,africa
2015,40,,. Which of the following organisms is not an endoparasite?,Rounworm,Liverfluke,Tick,Cestode,C,international
2015,41,,Which of the following compounds can be used to seal soil pores and prevent loss of water in a fish pond?,Suphur (IV) oxide,Ammonium suphate,Calcium carbonate,Potassium hydroxide,C,international
2015,42,,The demand for cassava is not affected by,Cost of production,Taste of consumers,Change in income,Price of cassava,A,africa
2015,43,,"A farmer obtained a loan of #250,000 at a simple interest rate of 8% per annum to be paid in two years what would be the interest the farmer will pay on the loan?","#20,000",". #40,000","#250,000","#400,000",B,international
2015,44,"A farmer bought a farm implement for 12,500 in 2007. At the end of the fourth year he sold if for #4,300.",. Calculate the total depreciation of the implement,"#16,800","#8,200","#3,125","#1,075",B,international
2015,45,,The annual depreciation of the implement is,"#4,300","#3,125","#2,050",#1075,B,international
2015,46,,Which of the following methods is inapropriate when introducing a new variety of rice to farners?,Farmers' cooperarive society,Circular letters,Demonstrations,Field trips,B,international
2015,47,,The term fingerling refers to a young,Rabbit,Fish,Goat,Turkey,B,international
,48,,The effect of fertilizing a fish pond eith compostt manure on phytoplankton population and fish yield is such that,Phytoplankton population decreases as fish yield decreases,Phytoplankton population decreases while fish yield increases,Phytoplankton population increases while fish yield decrease,Phytoplankton population iincreases as a fish yield increases,B,international
,49,,Which of the following developments could result from deforestation,increase in soil eorion,increase in soil PH,decrease in soil temperature,,A,international
,50,,Sexual Propagation involves the use of,Bulbs,Seeds,Cuttings,Vines,B,international
,,,,,,,,,
,,,,,,,,,
2016,1,,Which of the following suggestion would solve transportation problems associated with agriculture?,Establishment of tractor hiring units,Efficient railway system,Establishment of car hire units,Provision of extension services,B,international
2016,2,,Which of the following statements is not correct about agriculture in most West African countries?,employment,fuel,food,income,B,africa
2016,3,,The document given to a farmer on acquiring a piece of land from government is called,certificate of purchase,receipt of ownership,certificate of occupancy,receipt of lease,C,international
2016,8,,The surveying instrument used for measuring horizontal and vertical angles is called,theodolite.,Gunter's chain,Gunter's chain,arrow,A,international
2016,9,,Crop rotation is often used in maintaining soil fertility because,"all crops grown, add nutrient to the soil",some of the crops fix nitrogen in the soil,crops grown are ploughed into the soil,the crops are rotated on different farmlands,B,international
2016,10,,Land is said to be a fixed asset in Agriculture. This means that,its features and topography are fixed,soil nutrients and its vegetative cover can be replaced.,its size remains fixed over time,its micro organic composition is constant over time.,A,international
2016,11,,The most limiting factor affecting land availability for agriculture in urban settlements is,soil type,topography,climate,population pressure,D,international
