year,question_no,context,question,A,B,C,D,answer,region
2015,1,,Which of the the following best defines government as an institution of a state?,An institution established for class struggle,Machinery established for exercising political power,A process of organizing societal values,The art through which political parties are managed.,B,international
2015,2,,Which of the following is a reason for studying government?,knowledge of the rights of the individual,Acquisition of skills to work in a state-owned industry,Helps the individual to form a pressure group,Enables citizens to vote during election.,A,international
2015,3,,The most visible feature of a state is,compulsory membership,defined geographical territory,written constitution,sovereign power.,B,international
2015,4,,Representative democracy is characterized by,free election and proper register of voters,a politically educated elite,representation of the poor only,rule of the interest groups.,A,international
2015,5,,The set of attitudes and beliefs that determine the behavior of citizens in a political system is called,socialization,political culture,representative government,devolution.,B,international
2015,6,,. Fundamental Human Rights are entrenched in constitutions purposely to,ensure freedom of speech,guarantee the liberty of citizens,promote good governance,promote trade,B,international
2015,7,,Diplomatic and parliamentary immunities put limitations on,the rule of law,separation of powers,checks and balances,foreign policies,A,international
2015,8,,Montesquieu's political theory of separation of powers was meant to,promote unity in government,prevent dictatorial rule,ensure social justice,enhance state security,B,international
2015,9,,Which of the following countries practice a centralized system of government?,Nigeria,Ghana,USA,India,D,international
2015,10,,Which of the following countries operates an unwritten,Britain,USA,Japan,Canada,A,international
2015,11,,. A constitution that can be amended through ordinary law making process is said to be,written,unwritten,rigid,flexible,D,international
2015,12,,Which of the following system of government operates on the principles of checks and balances?,Theocracy,Presidential,Parliamentary,Monarchical,B,international
2015,13,,Confederal system of government means,powerful centre and weak component units,weak centre and powerful component units,powerful centre and power component units,weak component units and weak centre.,B,international
2015,14,,"In a federal system of government, the power shared between the central and state governments is known as",legislative power,executive power,concurrent power,judicial power.,C,international
2015,15,,The organ of government responsible for implementation of policies in a state is the,ombudsman,executive,National assembly,civil organization,B,international
2015,16,,Quick decision making is an advantage of,unicameralism,constitutionalism,federalism,republicanism,A,international
2015,17,,The organ of government responsible for implementation of policies in a state is the,legislature,judiciary,executive,public bureau.,C,international
2015,18,,A citizen is an individual who,has the legal and political rights in a country,has lived in a country for sometime,enjoys only economic rights,enjoys immunity in the country,A,international
2015,19,,Which of the following is a condition for granting citizenship to a foreigner?,Swearing an oath of allegiance.,Possession of a university degree,A registered member of a political party,Possession of an international passport.,A,international
2015,20,,Citizenship can be acquired through all of the following methods except,birth,nationalization,naturalization,marriage.,C,international
2015,21,,The conferment of citizenship on a distinguished personality of another country is called,citizenship by birth,honorary citizenship,adoption,citizenship by registration.,C,international
2015,22,,The primary aim of any political party is to,pressurize the government,remain in the opposition,control the government,ensure fair play in business.,C,international
2015,23,,A manifesto can be defined as the,opportunity to form a political party,proposed programmes of a political party,policy of a political party,power to rule the masses.,B,international
2015,24,,Which of the following exists in a one-party state?,Only the workers' party is allowed to exist,only the students' party is allowed to exist,Elections to the legislature are held at the party's conference,the ruling party is the only legal party.,D,international
